image_id,source_event,clip_id,camera_type,ground_truth,predicted_class,P_DRY,P_DAMP,P_WET,confidence,latency_ms,license,note
racing_00.jpg,16 Maldonado Wet (2013 Malaysia),UNKNOWN,trackside,WET,WET,0.0034662645775824785,0.00210591615177691,0.9944278001785278,0.9944278001785278,2.4481000000378117,CC BY 2.0,
racing_01.jpg,2011 Canadian GP - Force India,UNKNOWN,trackside,WET,WET,0.0023629511706531048,0.0006114410352893174,0.9970256686210632,0.9970256686210632,2.0851000008406118,CC BY-SA 2.0,
racing_02.jpg,2011 Canadian GP - Race stop,UNKNOWN,trackside,WET,WET,0.023403827100992203,0.021624386310577393,0.9549717903137207,0.9549717903137207,1.7947999986063223,CC BY-SA 2.0,
racing_03.jpg,2011 Canadian GP - Water,UNKNOWN,trackside,WET,WET,0.05902699753642082,0.007923167198896408,0.9330498576164246,0.9330498576164246,1.8755000019154977,CC BY-SA 2.0,
racing_04.jpg,2012 British GP - Kovalainen,UNKNOWN,trackside,WET,WET,0.0038020045030862093,9.454897372052073e-05,0.9961034059524536,0.9961034059524536,1.8732999997155275,CC BY-SA 2.0,
racing_05.jpg,2012 British GP - Lotus,UNKNOWN,trackside,WET,WET,0.007540727965533733,5.137792322784662e-05,0.9924079179763794,0.9924079179763794,1.7063000013877172,CC BY 2.0,
racing_06.jpg,2012 British GP - Massa,UNKNOWN,trackside,WET,WET,0.0007648778846487403,0.00014093221398070455,0.9990942478179932,0.9990942478179932,1.7602999978407752,CC BY 2.0,
racing_07.jpg,Adrian Sutil 2010 Malaysia 3rd Qualify,UNKNOWN,trackside,WET,WET,0.010727151297032833,0.0006104925414547324,0.9886623024940491,0.9886623024940491,1.9297999970149249,CC BY-SA 3.0,
racing_08.jpg,Alguersuari Malaysian Qualy 2010,UNKNOWN,trackside,WET,WET,0.008567425422370434,0.0007690589409321547,0.9906635284423828,0.9906635284423828,1.799000001483364,CC BY 2.0,
racing_09.jpg,Safety Car in Heavy Rain (Mercedes AMG GT S),UNKNOWN,trackside,WET,WET,0.0025327096227556467,3.468511567916721e-05,0.9974326491355896,0.9974326491355896,1.9782999988819938,CC BY-SA 2.0,
racing_10.jpg,"Eau Rouge McLaren (2011 Belgium, rain/fog)",UNKNOWN,trackside,WET,WET,0.004844215232878923,0.000990093220025301,0.9941656589508057,0.9941656589508057,2.313100001629209,CC BY-SA 2.0,
racing_11.jpg,Felipe Massa (wet spray),UNKNOWN,trackside,WET,WET,0.2091459035873413,0.0306101031601429,0.7602439522743225,0.7602439522743225,2.418699998088414,CC BY-SA 2.0,
racing_12.jpg,Fernando Alonso Belgium GP 2010,UNKNOWN,trackside,WET,WET,0.007284282706677914,0.0033334456384181976,0.989382266998291,0.989382266998291,2.5824000003922265,CC BY-SA 2.0,
contrast_00.jpg,2015 Singapore GP pit lane (Ferrari),UNKNOWN,trackside,AMBIGUOUS,WET,0.12546172738075256,0.01204670500010252,0.8624916076660156,0.8624916076660156,2.373999999690568,CC BY-SA 4.0,track surface obscured by fence/crew
contrast_01.jpg,2019 Turkey/China pit lane (Massa/Ferrari/Hamilton boxes),UNKNOWN,trackside,DRY,WET,0.012754006311297417,0.001449234550818801,0.9857967495918274,0.9857967495918274,2.1170999971218407,CC BY 2.0,
contrast_02.jpg,Catalunya test 2011 - Lotus pitstop (overhead),UNKNOWN,trackside,DRY,WET,0.08544529229402542,0.014520791359245777,0.9000339508056641,0.9000339508056641,2.3373000003630295,CC BY 2.0,
contrast_03.jpg,2012 Italian GP Monza pit lane,UNKNOWN,trackside,DRY,WET,0.08933062851428986,0.003700374625623226,0.9069690108299255,0.9069690108299255,2.377699998760363,CC BY 2.0,
contrast_04.jpg,2012 Italian GP Ferrari pit,UNKNOWN,trackside,DRY,WET,0.2051585614681244,0.005629769992083311,0.789211630821228,0.789211630821228,2.3693000002822373,CC BY 2.0,
contrast_05.jpg,2012 Italian GP Massa pit,UNKNOWN,trackside,DRY,WET,0.15372319519519806,0.020122893154621124,0.8261538743972778,0.8261538743972778,2.3632000011275522,CC BY 2.0,
contrast_06.jpg,Alonso Renault Pitstop Chinese GP 2008,UNKNOWN,trackside,DRY,WET,0.031677473336458206,0.004891491029411554,0.9634311199188232,0.9634311199188232,2.3355000012088567,CC BY-SA 2.0,
contrast_07.jpg,Aston Martin pit USGP 2021,UNKNOWN,trackside,DRY,DRY,0.671890914440155,0.027727166190743446,0.3003818690776825,0.671890914440155,2.4040999996941537,Public domain,
contrast_08.jpg,F1 2011 AUS pit (Red Bull/Toro Rosso),UNKNOWN,trackside,AMBIGUOUS,WET,0.06920509785413742,0.024874234572052956,0.905920684337616,0.905920684337616,2.4204999972425867,CC BY 2.0,minimal surface visible
contrast_09.JPG,F1 Turkey GP 2021 garage (Red Bull livery reveal),UNKNOWN,trackside,AMBIGUOUS,WET,0.03291672468185425,0.046699825674295425,0.9203835129737854,0.9203835129737854,2.344000000448432,CC BY-SA 4.0,"overcast garage, minimal surface visible"
contrast_10.jpg,Fale F1 Monza 2004 Sauber pit,UNKNOWN,trackside,DRY,WET,0.0014306335942819715,7.686740718781948e-05,0.9984924793243408,0.9984924793243408,2.4118000001180917,CC BY 2.0,
contrast_11.jpg,F1 fan pitstop challenge activation (not a real track),UNKNOWN,UNKNOWN,AMBIGUOUS,WET,0.02239471860229969,0.001538919983431697,0.9760663509368896,0.9760663509368896,2.3736000002827495,CC BY-SA 4.0,"not genuine track surface, indoor rubber mat flooring with visible damp footprints"
